smiles,charge
O=C(O)C(O)C(=O)O,"[-0.3686160557, 0.2984179526, -0.5133147751, 0.0362428814, -0.4944585384, 0.3375417343, -0.3343577176, -0.4549598502, 0.4326442535, 0.1758524669, 0.4268226384, 0.4581850098]"
CC[C@@H](C)C(=O)C(=O)O,"[-0.2987740319, -0.2019504688, -0.0997709271, -0.2937175164, 0.2334124835, -0.3222451633, 0.3217882036, -0.3252148461, -0.4626012041, 0.1057148168, 0.1029713405, 0.1042717801, 0.1104561478, 0.1119760593, 0.1340622141, 0.1073853409, 0.1142360163, 0.1092319882, 0.4487677666]"
NC(=O)CCC(=O)C(=O)O,"[-0.7499384383, 0.3030853075, -0.4079354246, -0.183692981, -0.1779280134, 0.2333734979, -0.3297867097, 0.3178620468, -0.3277327665, -0.4626121604, 0.399200915, 0.3862588745, 0.1299676217, 0.1299662647, 0.1459094002, 0.1459099987, 0.448092567]"
CC(C)C(=O)C(=O)O,"[-0.2946596646, -0.0998758035, -0.2922730926, 0.2338429347, -0.3221702103, 0.3222698339, -0.3245290623, -0.4620841996, 0.107481583, 0.1108267064, 0.1084566897, 0.1341952774, 0.1071254109, 0.1132214418, 0.1091650388, 0.4490071163]"
O=C(O)C(=O)[C@@H](O)[C@H](O)[C@@H](O)CO,"[-0.3073079537, 0.2980431148, -0.4818432342, 0.2113384378, -0.2837188818, 8.85152e-05, -0.5165749798, -0.0080614016, -0.5108356702, -0.007588642, -0.5270079914, -0.084289683, -0.5438837373, 0.4337839519, 0.154716289, 0.3980416082, 0.1480040599, 0.4114345027, 0.1415710149, 0.4086944302, 0.1200787751, 0.13607843, 0.4092390454]"
O=C(O)CCC(=O)C(=O)O,"[-0.3749428914, 0.3131242789, -0.4840545619, -0.179880885, -0.1881881325, 0.2369647398, -0.308814044, 0.3187158911, -0.3316960048, -0.4561236936, 0.4292324966, 0.1462799073, 0.1462798503, 0.1408006049, 0.1407994056, 0.4515030385]"
CCC(=O)C(=O)O,"[-0.2946494925, -0.1846839114, 0.2331598912, -0.3210712082, 0.316917831, -0.3349610385, -0.4633723411, 0.1072539583, 0.1107806175, 0.1107807298, 0.1357401686, 0.1357404832, 0.4483643121]"
O=C(O)[C@H](CO)OP(=O)(O)O,"[-0.1175597142, 0.2934934146, -0.4582058678, 0.0033368921, -0.0854866681, -0.5158282867, -0.3500550887, 0.4317863104, -0.2167585529, -0.512147979, -0.5603209527, 0.4308169571, 0.1341336541, 0.138028326, 0.14692963, 0.4127887758, 0.4201551468, 0.4048940031]"
O=C(O)[C@@H](COP(=O)(O)O)OP(=O)(O)O,"[-0.3257814192, 0.3276007192, -0.4629282162, 0.0307137867, -0.1464068925, -0.3311231758, 0.6863955669, -0.4290712496, -0.5219801347, -0.4596700351, -0.2681140679, 0.6655620053, -0.4332741609, -0.5818368779, -0.4569273318, 0.4444900357, 0.1868233575, 0.25455324, 0.1502869665, 0.3910396241, 0.4351236862, 0.4060986349, 0.4384259385]"
O[C@@H]1C=C(Cl)[C@H](Cl)C=C1Cl,"[-0.2432180968, -0.1878041479, -0.2517271876, -0.1077017941, 0.2585373604, -0.0276326511, -0.1226601497, -0.2227007577, -0.0162153377, -0.0730682976, 0.453613641, 0.1256771374, 0.1493551532, 0.1459302068, 0.1196149213]"
C[C@@H](N)C[C@H](N)C(=O)O,"[-0.3418472132, 0.0009155964, -0.8115567508, -0.1872886265, 0.0162906597, -0.7481334668, 0.308582882, -0.3773718602, -0.4846356145, 0.0836469195, 0.0932505831, 0.1168213762, 0.1231997628, 0.3358091981, 0.3387278599, 0.1224934842, 0.1143027284, 0.1433589398, 0.3611945391, 0.3542236279, 0.438015375]"
O[C@@H]1C=C(Cl)[C@H](O)C=C1Cl,"[-0.2936374105, -0.1900518482, -0.2234350259, -0.0932283252, 0.2217858008, 0.0305841131, -0.5899949509, -0.2081410453, -0.0162989107, -0.0753682767, 0.4596669354, 0.1247172005, 0.1537892216, 0.1574305783, 0.4226079292, 0.1195740144]"
Oc1cc(Cl)c(O)cc1Cl,"[-0.513524703, 0.0653034287, -0.1301359963, 0.0014438369, 0.10126972, 0.0945910285, -0.4979054406, -0.1544183795, -0.0884903825, -0.0462442523, 0.4340966412, 0.1417557265, 0.4294080605, 0.1628507118]"
Oc1cc(Cl)ccc1Cl,"[-0.5163607357, 0.0624304961, -0.1210688087, 0.0076788452, 0.0731720738, -0.1235650326, -0.1284886129, -0.0898576962, -0.0522848423, 0.4327422353, 0.1442739144, 0.1482942091, 0.1630339542]"
O=C(O)C(=O)[C@@H](O)[C@H](O)C(=O)CO,"[-0.295902894, 0.2992951012, -0.4946138633, 0.2132815851, -0.2760798892, 0.0088938653, -0.5094662695, 0.0057766209, -0.5143899179, 0.2017220669, -0.3288703751, -0.0669526677, -0.5310064164, 0.4395857274, 0.1589794435, 0.4039569656, 0.1636361034, 0.4203687662, 0.1343874177, 0.1527641574, 0.4146344725]"
C[C@]1(CO)O[P@@](=O)(O)O[P@](=O)(O)OC[C@H]1O,"[-0.3240222084, 0.0886679986, -0.0786215846, -0.5290530764, -0.3364861484, 0.5501988399, -0.3258200353, -0.5138777455, -0.3439715209, 0.4863267494, -0.3901991291, -0.5388351489, -0.2735575038, 0.02032004, 0.0975191257, -0.4400348149, 0.2445755769, 0.1074184877, 0.1016709372, 0.1399501043, 0.1464863632, 0.4007639868, 0.4126694246, 0.4126774318, 0.1396356879, 0.1556784444, 0.1733669434, 0.4165527745]"
CC(=O)C=CC=C(O)C(=O)O,"[-0.2824239953, 0.2090519977, -0.3770657047, -0.1260589876, -0.0839460338, -0.1190150428, 0.1100394868, -0.5093657918, 0.3213385869, -0.3543410745, -0.4701044022, 0.1275269578, 0.1229527186, 0.1229521218, 0.1327595698, 0.1408078192, 0.1473831678, 0.4414854391, 0.4460231671]"
CC(C)CC(=O)C(=O)O,"[-0.2955249398, -0.1121362916, -0.3126582188, -0.1830280527, 0.2389334566, -0.306829144, 0.3164144488, -0.3340661925, -0.4636137781, 0.1072971419, 0.1041433089, 0.1015078832, 0.1147191481, 0.0966610079, 0.1018687044, 0.1061671198, 0.1354490828, 0.1366163995, 0.4480789157]"
O=C(O)CCCC(=O)C(=O)O,"[-0.3816588776, 0.313432952, -0.4841569869, -0.1818125641, -0.2049915046, -0.1806264505, 0.2350837917, -0.3218395636, 0.3178477083, -0.3298392665, -0.459061477, 0.4304217378, 0.13945938, 0.1394597117, 0.1187330628, 0.1187333834, 0.1404483653, 0.1404480529, 0.449918545]"
O=C(O)c1ccc(O)c(O)c1,"[-0.3651038326, 0.2994741842, -0.4834698618, -0.0320776165, -0.068257852, -0.0906105457, 0.1251674312, -0.4850075809, -0.0766551111, -0.4462976556, -0.1098130231, 0.4273585943, 0.135664303, 0.1399592743, 0.4210850551, 0.4562749059, 0.1523093312]"
Nc1ncnc2c1ncn2[C@H]1O[C@@H](COP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H]1O,"[-0.6910734516, 0.0976868421, -0.3900662989, 0.261958079, -0.3748068046, 0.0818576997, 0.0883650633, -0.2864203529, 0.1713513312, -0.3407957908, -0.0855648916, -0.1846248832, -0.003436522, 0.0965892782, -0.2926964036, 0.5246723353, -0.527948785, -0.5075629652, -0.5117473284, -0.0074849879, -0.3610133296, 0.3596579047, -0.535824199, -0.2295378139, -0.5933282697, 0.0357948837, -0.5064140062, 0.4052301971, 0.3881240658, 0.151063527, 0.1683197999, 0.2247806919, 0.1571803105, 0.2102115896, 0.5882275653, 0.4200639237, 0.4144258406, 0.144013655, 0.4635941194, 0.4083259529, 0.1534251564, 0.4154272718]"
NCCC=O,"[-0.8043758994, -0.091921851, -0.1892617608, 0.1320959818, -0.365888279, 0.3408266575, 0.3400619868, 0.1008801696, 0.1228483612, 0.1384871472, 0.1335721409, 0.1426753452]"
CC(C)[C@@](O)(CC(=O)O)C(=O)O,"[-0.3254893667, -0.1186793248, -0.3140939894, 0.1029972004, -0.5285046582, -0.1930008341, 0.2638840994, -0.3328093743, -0.4869534237, 0.3336526828, -0.3289708447, -0.4728823981, 0.0747804001, 0.1381591519, 0.2128415896, 0.114542864, 0.0990732247, 0.0996197706, 0.108991668, 0.4055800896, 0.128228364, 0.1336994437, 0.4441221087, 0.4412115565]"
N[C@H](CCl)C(=O)O,"[-0.7867144973, 0.0055497042, -0.1192592165, -0.0889307155, 0.2947607244, -0.3482067987, -0.4850929539, 0.3420515599, 0.3401672107, 0.1403519445, 0.134649739, 0.13585547, 0.4348178291]"
N#Cc1cccnc1,"[-0.3430000581, 0.16215647, 0.0034085435, -0.0732415018, -0.1018514335, 0.0499611337, -0.236440364, -0.0834680536, 0.1458221743, 0.1340963342, 0.1806922431, 0.1618645121]"
O=C(O)C1=CC(=O)[C@H](O)[C@H](O)C1,"[-0.3609265533, 0.3072090001, -0.4835946147, 0.0155769839, -0.1407367454, 0.1856315643, -0.3154874769, 0.0243517183, -0.5264767603, -0.0068410354, -0.4843375342, -0.1901675767, 0.4317761299, 0.1260330119, 0.1571388482, 0.4116489766, 0.2053046155, 0.407706415, 0.1198813441, 0.1163096891]"
